# North America Beach List
# Format: beach_name | slug | state_province | country | nearest_noaa_station | notes
# Stations marked (est) need verification against tidesandcurrents.noaa.gov

# ── MAINE ─────────────────────────────────────────────────────────────────────
Old Orchard Beach        | old-orchard-beach        | ME | USA | 8419317 |
Del Mar Beach            | del-mar-beach             | CA | USA | 9410230 |
La Jolla Beach           | la-jolla-beach            | CA | USA | 9410230 |
Pacific Beach SD         | pacific-beach-sd          | CA | USA | 9410170 |
Mission Beach            | mission-beach             | CA | USA | 9410170 |
Ocean Beach SD           | ocean-beach-sd            | CA | USA | 9410170 |
Coronado Beach           | coronado-beach            | CA | USA | 9410170 |
Imperial Beach           | imperial-beach            | CA | USA | 9410170 |
Catalina Island          | catalina-island           | CA | USA | 9410840 |

# ── HAWAII ──────────────────────────────────────────────────────────────────
Waikiki Beach            | waikiki-beach             | HI | USA | 1612340 |
Hanauma Bay              | hanauma-bay               | HI | USA | 1612340 |
Sandy Beach Hawaii       | sandy-beach-hawaii        | HI | USA | 1612340 |
Lanikai Beach            | lanikai-beach             | HI | USA | 1612340 |
Kailua Beach             | kailua-beach              | HI | USA | 1612340 |
Sunset Beach Hawaii      | sunset-beach-hawaii       | HI | USA | 1612340 |
Waimea Bay               | waimea-bay                | HI | USA | 1612340 |
Haleiwa Beach            | haleiwa-beach             | HI | USA | 1612340 |
Ka'anapali Beach         | kaanapali-beach           | HI | USA | 1617760 |
Napili Bay               | napili-bay                | HI | USA | 1617760 |
Makena Beach             | makena-beach              | HI | USA | 1617760 |
Wailea Beach             | wailea-beach              | HI | USA | 1617760 |
Kapalua Beach            | kapalua-beach             | HI | USA | 1617760 |
Hapuna Beach             | hapuna-beach              | HI | USA | 1617760 | est Big Island
Mauna Kea Beach          | mauna-kea-beach           | HI | USA | 1617760 | est
Poipu Beach              | poipu-beach               | HI | USA | 1612340 | est Kauai
Hanalei Bay              | hanalei-bay               | HI | USA | 1612340 | est

# ── ALASKA ───────────────────────────────────────────────────────────────────
Juneau Beach             | juneau-beach              | AK | USA | 9452210 |
Sitka Beach              | sitka-beach               | AK | USA | 9451600 |
Ketchikan Beach          | ketchikan-beach           | AK | USA | 9450460 |
Homer Beach              | homer-beach               | AK | USA | 9455920 |
Seward Beach             | seward-beach              | AK | USA | 9455920 |
Kodiak Beach             | kodiak-beach              | AK | USA | 9461380 |

# ── CANADA — BRITISH COLUMBIA ────────────────────────────────────────────────
Tofino Beach             | tofino-beach              | BC | Canada | scrape |
Chesterman Beach         | chesterman-beach          | BC | Canada | scrape |
Cox Bay Beach            | cox-bay-beach             | BC | Canada | scrape |
Long Beach BC            | long-beach-bc             | BC | Canada | scrape |
English Bay Vancouver    | english-bay-vancouver     | BC | Canada | scrape |
Spanish Banks           | spanish-banks              | BC | Canada | scrape |
White Rock Beach         | white-rock-beach          | BC | Canada | scrape |
Parksville Beach         | parksville-beach          | BC | Canada | scrape |
Qualicum Beach           | qualicum-beach            | BC | Canada | scrape |
Rathtrevor Beach         | rathtrevor-beach          | BC | Canada | scrape |

# ── CANADA — ONTARIO / GREAT LAKES ──────────────────────────────────────────
Wasaga Beach             | wasaga-beach              | ON | Canada | scrape |
Sauble Beach             | sauble-beach              | ON | Canada | scrape |
Grand Bend Beach         | grand-bend-beach          | ON | Canada | scrape |
Port Stanley Beach       | port-stanley-beach        | ON | Canada | scrape |
Sandbanks Beach          | sandbanks-beach           | ON | Canada | scrape |
Presqu'ile Beach         | presquile-beach           | ON | Canada | scrape |
Cobourg Beach            | cobourg-beach             | ON | Canada | scrape |
Port Dover Beach         | port-dover-beach          | ON | Canada | scrape |

# ── CANADA — ATLANTIC ────────────────────────────────────────────────────────
Parlee Beach NB          | parlee-beach              | NB | Canada | scrape |
Cavendish Beach          | cavendish-beach           | PEI | Canada | scrape |
Brackley Beach           | brackley-beach            | PEI | Canada | scrape |
Inverness Beach          | inverness-beach           | NS | Canada | scrape |
Martinique Beach         | martinique-beach          | NS | Canada | scrape |
Ingonish Beach           | ingonish-beach            | NS | Canada | scrape |
Crystal Crescent Beach   | crystal-crescent-beach    | NS | Canada | scrape |

# ── MEXICO — BAJA CALIFORNIA ─────────────────────────────────────────────────
Rosarito Beach           | rosarito-beach            | BC | Mexico | scrape |
Ensenada Beach           | ensenada-beach            | BC | Mexico | scrape |
Cabo San Lucas Beach     | cabo-san-lucas-beach      | BCS | Mexico | scrape |
San Jose del Cabo        | san-jose-del-cabo         | BCS | Mexico | scrape |
La Paz Beach             | la-paz-beach              | BCS | Mexico | scrape |
Loreto Beach             | loreto-beach              | BCS | Mexico | scrape |

# ── MEXICO — PACIFIC COAST ───────────────────────────────────────────────────
Mazatlan Beach           | mazatlan-beach            | Sin | Mexico | scrape |
Puerto Vallarta Beach    | puerto-vallarta-beach     | Jal | Mexico | scrape |
Sayulita Beach           | sayulita-beach            | Nay | Mexico | scrape |
Punta Mita               | punta-mita                | Nay | Mexico | scrape |
Manzanillo Beach         | manzanillo-beach          | Col | Mexico | scrape |
Zihuatanejo Beach        | zihuatanejo-beach         | Gro | Mexico | scrape |
Ixtapa Beach             | ixtapa-beach              | Gro | Mexico | scrape |
Acapulco Beach           | acapulco-beach            | Gro | Mexico | scrape |
Puerto Escondido         | puerto-escondido          | Oax | Mexico | scrape |
Huatulco Beach           | huatulco-beach            | Oax | Mexico | scrape |

# ── MEXICO — CARIBBEAN ───────────────────────────────────────────────────────
Cancun Beach             | cancun-beach              | QR | Mexico | scrape |
Playa del Carmen         | playa-del-carmen          | QR | Mexico | scrape |
Tulum Beach              | tulum-beach               | QR | Mexico | scrape |
Cozumel Beach            | cozumel-beach             | QR | Mexico | scrape |
Isla Holbox              | isla-holbox               | QR | Mexico | scrape |
Mahahual Beach           | mahahual-beach            | QR | Mexico | scrape |
Akumal Beach             | akumal-beach              | QR | Mexico | scrape |
